Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,178,178,30000.909839000087,30004.23928248315,30000.909839000087,30022.6898410001,0.0,1.3888121875942245,1.3888121875942245,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/info,101,101,30000.87344600024,30003.939293326737,30000.87344600024,30018.498690999877,0.0,0.7880338817248128,0.7880338817248128,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,POST /api/echo,76,76,30000.99148499976,30004.510065500024,30000.99148499976,30021.886636999625,0.0,0.5929759902087701,0.5929759902087701,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,355,355,30000.87344600024,30004.21190390423,30000.87344600024,30022.6898410001,0.0,2.7698220595278076,2.7698220595278076,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
