Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,744,0,2,2.2261469744551023,1.2849390000155836,11.526626999966538,395.0,2.486753059052531,0.0,2,2,2,2,2,3,3,4,12,12,12
GET,GET /api/info,433,0,2,2.2558191316206315,1.4614110000366054,14.306372000191914,394.9907621247113,1.4472635410883683,0.0,2,2,2,2,3,3,3,4,14,14,14
POST,POST /api/echo,301,0,2,2.2590774252705423,1.4735560002918646,5.31900299984045,47.0,1.0060654177080806,0.0,2,2,2,2,3,3,3,4,5,5,5
,Aggregated,1478,0,2,2.241546236801599,1.2849390000155836,14.306372000191914,324.1258457374831,4.94008201784898,0.0,2,2,2,2,2,3,3,4,12,14,14
